ability_name;description
Adaptability;Whenever this pokemon uses a damaging move that matches its type, add 1 die to the damage pool.
Aerilate;Normal-type attacks that this pokemon uses will deal damage as if they were Flying-type, affecting STAB, weakness and resistance. Add 1 die to the damage pool of Flying-type moves.
Aftermath;If this pokemon faints due to a non-Ranged Physical attack, the user of that attack is dealt 2 damage.
Air Lock;Negate all effects of Weather on the field (it is still active). If there is no active Weather, none can be activated by moves or abilities.
Analytic;If this pokemon has a lower initiative than its target, add 1 die to its damage pool.
Anger Point;If a foe lands a Critical Hit on this pokemon, increase its Strength by 3.
Anticipation;If a foe knows a move that would deal Lethal or Super-Effective damage to this pokemon, this pokemon will alert its trainer. No details are disclosed.
Arena Trap;Foes on the ground are Blocked.
Aroma Veil;User and allies are immune to the effects of the moves: Taunt, Torment, Attract, Disable, Encore, and Heal Block.
Aura Break;Invert the effects of Dark Aura and Fairy Aura on their users.
Bad Dreams;At the end of each round, deal 1 damage to anyone on the battlefield that is Asleep.
Ball Fetch;Whenever you throw a pokeball at a wild pokemon, if the roll for catching it is unsuccessful, this pokemon will bring the pokeball back, without breaking it.
Battery;Increase allies' Special by 1. Allies add 1 die to the damage pool of all Special moves.
Battle Armor;If a foe lands a Critical Hit on this pokemon, it will not get any bonus dice for it.
Battle Bond;After a foe is defeated by this pokemon, if this pokemon has a loyalty score of 5, change its form into "Battle-Bond Form" (BBF) until the end of the scene or until it or its trainer faints. Only one pokemon per party may have this ability. Pokemon with this ability cannot hold a Mega-Stone.
Beast Boost;If a foe faints because of an attack dealt by this pokemon, increase its attribute with the highest limit by 1. Up to 3 attributes can be increased this way. Only Ultra-Beasts may have this ability. Cannot be swapped or copied.
Berserk;When this pokemon's HP is half or less, increase its Special by 1.
Big Pecks;This pokemon cannot have its Defense reduced.
Blaze;When this pokemon's HP is at half or less, Pain Penalization will not reduce successes from damage rolls of its Fire-type moves, instead they get 1 extra die to their damage pool.
Bulletproof;Reduce all damage from Special and Ranged Physical attacks done to this pokemon by 1.
Cheek Pouch;This pokemon restores 2 HP whenever it eats a berry with no HP healing effect.
Chlorophyll;If Sunny Weather is active, increase this pokemon's Dexterity by 2.
Clear Body;Other pokemon cannot increase or decrease the Attributes of this pokemon.
Cloud Nine;Negate the effects of Weather on this pokemon.
Color Change;When this pokemon is dealt damage, its type changes to the type of the move that damaged it. The effect ends if this pokemon is removed from battle.
Comatose;This pokemon is permanently Asleep, but is immune to its effects. This pokemon cannot be inflicted with other Status Conditions. Moves and Abilities affecting Sleeping pokemon still affect it.
Competitive;The first time this pokemon gets an Attribute reduced by a foe, increase its Special by 2.
Compound Eyes;This pokemon get 2 bonus dice on the Accuracy pool of any move with reduced Accuracy.
Contrary;If anything would decrease an Attribute of this pokemon, increase it instead and vice versa.
Corrosion;Ignore any immunity the foe has to Poison-type damage and/or to be inflicted Poison and Badly Poisoned Status Conditions.
Cotton Down;If this pokemon is hit with a non-Ranged Physical Attack, decrease the Dexterity of all other pokemon by 1.
Cursed Body;Whenever this pokemon is dealt damage with a move, roll 3 chance dice to Disable that move. More than one move may be Disabled this way.
Cute Charm;If a foe hits this pokemon with a non-Ranged Physical attack, roll 3 chance dice to make the foe fall in Love.
Damp;No ally or foe will be able to use the moves Explosion or Self Destruct.
Dancer;Whenever a pokemon uses a move with the word "Dance", this pokemon gets a free action to use the same move immediately after and succeeds automatically. (Damage must be rolled.)
Dark Aura;Add 2 dice to the damage pool of Dark-type moves of pokemon on the field. This effect does not stack. Trainers and pokemon on the field will not cooperate.
Dauntless Shield;Whenever this pokemon enters battle, increase its Defense by 2. Outside of battle, this pokemon is immune to Physical damage.
Dazzling;Does cannot use priority moves against this pokemon.
Defeatist;Is this pokemon is at half or less of its total HP, roll this pokemon's loyalty every action. if the roll fails, reduce its Strength and Special by 2 for that action. If it is not succesful, the decrease lasts for the rest of the scene.
Defiant;The first time this pokemon has an Attribute reduced during a battle, increase its Strength by 2.
Delta Stream;When this pokemon comes out, Strong Wind Weather is activated. The effect ends when the pokemon leaves the battle. (Will is tiebreaker.)
Desolate Land;When this pokemon comes out, Harsh Sunlight Weather is activated. The effect ends when the pokemon leaves the battle. (Will is tiebreaker.)
Disguise;The first time this pokemon would receive damage during a battle, reduce that damage to zero. Entry hazards, Weather, and Status Conditions do not trigger this ability.
Download;When this pokemon comes out, it will scan its foes and provide information about them. Then, increase either its Strength or Special by 1 (ask the GM).
Drizzle;When this pokemon comes out, Rain Weather is activated. The effects end when the pokemon leaves the battle. (Will is tiebreaker.)
Drought;When this pokemon comes out, Sunny Weather is activated. The effects end when the pokemon leaves the battle. (Will is tiebreaker.)
Dry Skin;If Sunny Weather is active, this pokemon takes 1 damage at the end of each round. Fire attacks deal 1 additional damage to this pokemon. Water attacks heal this pokemon for 1 HP instead of damaging it.
Early Bird;The time this pokemon would be Asleep is reduced by half. It will only need to score 2 successes on its Insight rolls to wake up in battle. This effect does not apply for the move "Rest".
Effect Spore;If this pokemon is hit by a non-Ranged Physical attack, roll 3 chance dice to Poison, Paralyze or Sleep the foe at random.
Electric Surge;When this pokemon comes out, Electric Terrain is activated. The effects end when the pokemon leaves the battle. (Will is tiebreaker.)
Emergency Exit;Whenever this pokemon reaches half or less of its HP, it will switch out, sending an Ally to take its place. If there is no ally, the battle ends. This ability is not affected by Block.
Fairy Aura;Add 2 dice to the damage pool of Fairy-type moves of pokemon on the field. This effect does not stack. Trainers and pokemon on the field will not attack the user of this Ability.
Filter;If a foe uses a move that would deal Super Effective damage to this pokemon, reduce the damage of that move by 1.
Flame Body;When hit by a non-Ranged Physical attack, this pokemon rolls 3 chance dice to Burn(1) the foe.
Flare Boost;If this pokemon gets any Burn Condition, increase its Special by 2.
Flash Fire;The first time this pokemon is hit by a Fire-type move, add 1 extra die to the damage pool Fire-type moves this pokemon uses until the end of the scene. Fire-type moves do not deal damage to this pokemon.
Flower Gift;If Sunny Weather is active, increase the Strength and Sp. Defense of Allies by 2.
