Name;Type;Class;Accuracy;Damage;Added effect
Absorb;Grass;Special;Dexterity + Channel;Special + 1;The user restores HP equal to half the damage dealt rounded down.
Acid;Poison;Special;Dexterity + Channel;Special + 2;Target all foes. Roll 1 chance die to reduce all foes' Sp. Defense by 1.
Acid Armor;Poison;Support;Special + Nature;None;Increase the user's Defense by 2.
Acid Spray;Poison;Special;Dexterity + Channel;Special + 2;Reduce the foe's Special by 2.
Acrobatics;Flying;Physical;Dexterity + Brawl;Strength + 4*;If the user has a held item, remove 2 dice from the damage pool.
Acupressure;Normal;Support;Dexterity + Nature;None;Increase a random Attribute by 1. If this move is used again, remove the previous Attribute increase.
Aerial Ace;Flying;Physical;Dexterity + Brawl;Strength + 2;Never fails.
Aeroblast;Flying;Special;Special + Channel;Special + 4;Lethal. High Critical.
After You;Normal;Support;Cool + Etiquette;None;Target ally will go first in the initiative order. Lasts for the rest of the battle.
Agility;Psychic;Support;Dexterity + Athletic;None;Increase the user's Dexterity by 2.
Air Cutter;Flying;Special;Dexterity + Channel;Special + 2;Target all foes. High Critical.
Air Slash;Flying;Special;Dexterity + Channel;Special + 3;Roll 3 chance dice to flinch the foe.
Ally Switch;Psychic;Support;Special + Channel;None;Switcher Move. The user switches out with an ally. The ally is ready to fight on the next round.
Amnesia;Psychic;Support;Insight + Alert;None;Increase the user's Sp. Defense by 2.
Anchor Shot;Steel;Physical;Dexterity + Brawl;Strength + 3;Ranged. Blocks.
Ancient Power;Rock;Special;Dexterity + Channel;Special + 2;Roll 1 chance die to increase the user's Strength, Dexterity, Special, Sp. Defense, and Defense by 1.
Aqua Jet;Water;Physical;Dexterity + Brawl;Strength + 2;Priority 1.
Aqua Ring;Water;Support;Special + Nature;None;If succesful, spend 1 Will to activate. The user heals 1 HP at the end of each round. Lasts 4 rounds.
Aqua Tail;Water;Physical;Dexterity + Brawl;Strength + 3;Accuracy -1. Roll 3 chance dice to Flinch the foe.
Arm Thrust;Fight;Physical;Dexterity + Brawl;Strength + 1;Multiple Actions (5).
Aromatic Mist;Fairy;Support;Insight + Nature;None;Increase one ally's Defense and Sp. Defense by 1.
Aromatherapy;Grass;Support;Insight + Nature;None;Cure user and allies of Burn, Freeze, Paralysis, Poison, or Sleep.
Assist;Normal;Support;Clever + Perform;Varies;Choose one move known by a random member of your party. Perform that move using the accuracy roll from Assist.
Assurance;Dark;Physical;Dexterity + Brawl;Strength + 2*;If the foe has already received damage from a move this round, add 2 extra dice to the damage pool.
Astonish;Ghost;Physical;Dexterity + Brawl;Strength + 1;Roll 3 chance dice to flinch the foe.
Attack Order;Bug;Physical;Tough + Nature;Strength + 3;Ranged. High Critical.
Attract;Normal;Support;Beauty + Allure;None;If succesful, target is now in Love. Fails if target is genderless or same gender as the user.
Aura Sphere;Fight;Special;Dexterity + Channel;Special + 3;Never fails.
Aura Wheel;Electric;Physical;Dexterity + Brawl;Strength + 4;INcrease the user's Dexterity by 1. If the user is in "Hangry Form", this move is considered Dark-type.
Aurora Beam;Ice;Special;Dexterity + Channel;Special + 2;Roll 1 chance die to reduce the foe's Strength by 1.
Aurora Veil;Ice;Support;Special + Channel;None;User and Allies will receive 1 less damage from Physical and Special attacks. This move will fail if the active Weather is not Hail. Lasts 4 rounds, even if Hail Weather is no longer active.
Autotomize;Steel;Support;Dexterity + Channel;None;Increase the user's Dexterity by 2. Halve the user's weight for the rest of the scene.
Avalanche;Ice;Physical;Dexterity + Brawl;Strength + 2*;Priority -4. If the user received damage from the target this round, add 2 extra dice to the damage pool.
Baby-Doll Eyes;Fairy;Support;Cute + Allure;None;Priority 1. Reduce the foe's Strength by 1.
